date,open,high,low,close,volume
1/20/2011,319.3577,320.3023,314.8518,316.6097,5389557
1/21/2011,323.0806,324.1666,308.8254,309.0628,8880336
1/24/2011,306.9109,309.3962,303.7083,308.6839,4591289
1/25/2011,307.2291,313.5384,306.3805,313.1444,3641487
1/26/2011,313.3565,314.4476,310.8056,311.4218,2037534
1/27/2011,312.124,313.0383,309.7811,311.5683,2017777
1/28/2011,312.7201,313.3717,302.9657,303.587,4228428
1/31/2011,304.9055,305.3449,300.839,303.2688,2804332
2/1/2011,305.355,309.8332,304.6584,308.6637,2736620
2/2/2011,308.6435,310.3307,306.8907,309.1487,1760505
2/3/2011,307.8757,308.8708,306.1835,308.2142,1495029
2/4/2011,308.2142,308.8668,306.4259,308.6334,1547504
2/7/2011,308.2192,312.3766,307.7393,310.308,1799568
2/8/2011,310.6288,313.0024,310.4178,312.3715,1692991
2/9/2011,311.6087,312.912,309.3204,311.4218,1842123
2/10/2011,310.1085,311.927,308.9264,311.3915,2334057
2/11/2011,310.0529,315.7156,309.6538,315.463,2589621
2/14/2011,314.877,318.0589,313.21,317.3068,2127982
2/15/2011,316.8875,318.2868,314.7558,315.2862,2088898
2/16/2011,316.0338,316.4733,314.2506,315.3215,1683648
2/17/2011,313.8213,316.8521,313.3313,315.8469,1476887
2/18/2011,316.2207,318.8374,315.3013,318.2817,3213891
2/22/2011,313.205,315.6802,307.0119,308.2445,3634252
2/23/2011,308.3051,310.5126,305.1075,308.8052,2871659
2/24/2011,308.8405,309.6993,303.7689,307.5423,2711677
2/25/2011,309.078,310.5227,307.8858,308.1586,1922690
2/28/2011,308.1384,311.4168,307.1332,309.8559,2281411
3/1/2011,312.0684,312.7958,302.7351,303.4709,3317689
3/2/2011,302.9859,306.1178,300.6572,303.486,2026085
3/3/2011,306.3098,308.8911,305.6127,307.9161,1944765
3/4/2011,307.2948,307.6231,303.188,303.4001,3008537
3/7/2011,303.3648,304.9509,296.5201,298.874,3460982
3/8/2011,299.5156,302.0665,298.1365,299.2024,2283573
3/9/2011,298.5406,300.3137,295.8891,298.9296,2149873
3/10/2011,295.732,296.3281,292.7062,293.1356,3126651
3/11/2011,292.0849,292.984,289.6147,291.3221,3031601
3/14/2011,289.347,292.1202,286.9324,287.9275,2815242
3/15/2011,281.6183,288.4377,280.608,287.7103,4005573
3/16/2011,286.9274,287.8265,278.4763,281.4162,3792234
3/17/2011,285.1442,287.4274,283.1539,283.5681,2898461
3/18/2011,285.225,286.9173,282.7498,283.4166,3297830
3/21/2011,288.0437,292.883,287.4376,291.216,3017546
3/22/2011,291.605,292.5951,289.2005,291.6303,1886804
3/23/2011,290.5543,294.2216,288.9429,294.0752,1812895
3/24/2011,295.727,297.2222,292.3779,296.4645,2094913
3/25/2011,296.4594,296.4746,292.6001,292.8527,2855613
3/28/2011,294.0297,295.5047,290.3118,290.6402,2214841
3/29/2011,290.9635,293.9388,289.4531,293.8579,1604774
3/30/2011,295.1966,295.7623,293.278,293.9135,1420380
3/31/2011,294.4995,297.1066,293.863,296.3988,2028228
4/1/2011,297.4091,300.6572,297.4091,298.9448,2611292
4/4/2011,299.5509,300.4299,294.55,296.8636,2054176
4/5/2011,293.5296,293.7367,285.7504,287.4729,6041835
4/6/2011,289.0338,290.5391,286.9223,290.0441,2667338
4/7/2011,290.8271,293.3073,290.0492,292.984,2529270
4/8/2011,295.4522,295.4542,292.0041,292.0546,1899110
4/11/2011,291.0645,292.0243,289.448,291.6555,1856679
4/12/2011,290.4583,291.4257,286.9476,288.2407,2081648
4/13/2011,290.7159,291.7717,288.8166,291.1049,1990012
4/14/2011,290.5543,292.7062,288.9934,292.2314,5314938
4/15/2011,275.4505,275.6828,267.7571,268.0804,14036820
4/18/2011,265.9184,266.5468,262.1702,266.1305,5039045
4/19/2011,267.7015,268.1713,263.13,263.4482,2683615
4/20/2011,265.6557,266.1204,263.3775,265.5698,3024268
4/21/2011,266.4589,266.8579,263.8826,265.2516,2469963
4/25/2011,265.3274,266.2114,263.6907,265.2263,1630062
4/26/2011,265.9689,271.485,265.3072,269.1513,3530977
4/27/2011,271.768,271.8235,269.9242,271.6467,2297035
